Part/Designator,Manufacture Part Number/Seeed SKU,Quantity,Description
"C1, C2",302010143,2,"302010143, 0603, 22pF"
"C3, C4",302010139,2,"302010139, 0603, 1uF"
"C6, C7",302010138,2,"302010138, 0603, 100nF"
D1,304090046,1,"304090046, LED, 0805, Red"
D2,304090057,1,"304090057, LED, 0805, Green"
D3,304090061,1,"304090061, LED, 0805, Blue"
D4,304090039,1,"304090039, LED, 0805, Yellow"
F1,307010002,1,"307010002, Fuse, 1206, 500mA"
K1,311020047,1,"311020047, Button"
"Q1, Q2",305010018,2,"305010018, Transistor, SOT23"
"R1, R7, R8, R9",301010300,4,"301010300, Res 330, 0603"
"R2, R3, R6",301010299,3,"301010299, Res 10k, 0603"
"R4, R5",301010088,2,"301010088, Res 470, 0603"
U1,310070026,1,"310070026, CH340T USB serial"
U2,310030095,1,"310030095, CJA1117B-3.3 Regulator"
USB,320010000,1,"320010000, USB Conn"
Y1,306010047,1,"306010047, 12Mhz Crystal"
